Domain,Questionnaire Number,Section Title,Variable name,Short Description,Values,Length,Precision,Scale,Long Description,Pre-selected variable?,Original CTS Variable Name (for questionnaire variables),,,
Questionnaire,Q4,Medication,stopaspr,Did you stop aspirin tablets?,"N=Never took regularly or didn?t stop, Y=Yes stopped regular use, Z=Problem",,,,6. Did you stop regular use of aspirin or aspirin containing product? This is answer of never took regularly or yes stopped regular use. From the 4th CTS questionnaire (2005-2008).,,STPASP,,,
Questionnaire,Q4,Medication,stopibupf,Did you stop ibuprofen tablets?,"N=Never took regularly or didn?t stop, Y=Yes stopped regular use, Z=Problem",,,,6. Did you stop regular use of Ibuprofen? This is answer of never took regularly or yes stopped regular use. From the 4th CTS questionnaire (2005-2008).,,STPIBU,,,
Questionnaire,Q4,Medication,stopnsaid,Did you stop other nsaid tablets?,"N=Never took regularly or didn?t stop, Y=Yes stopped regular use, Z=Problem",,,,6. Did you stop regular use of NSAID? This is answer of never took regularly or yes stopped regular use. From the 4th CTS questionnaire (2005-2008).,,STPOTH,,,
Questionnaire,Q4,Medication,stopcox2,Did you stop cox-2 inhibitor tablets?,"N=Never took regularly or didn?t stop, Y=Yes stopped regular use, Z=Problem",,,,6. Did you stop regular use of Cox-2 inhibitor? This is answer of never took regularly or yes stopped regular use. From the 4th CTS questionnaire (2005-2008).,,STPCOX,,,
Questionnaire,Q4,Medication,stopacetm,Did you stop acetaminophen tablets?,"N=Never took regularly or didn?t stop, Y=Yes stopped regular use, Z=Problem",,,,6. Did you stop regular use of acetaminophen? This is answer of never took regularly or yes stopped regular use. From the 4th CTS questionnaire (2005-2008).,,STPACE,,,
Questionnaire,Q4,Medication,stopbbaspr_impr,Stop baby aspirin because cond improved?,Y=Yes,,,,6. Did you stop baby aspirin because your condition improved? From the 4th CTS questionnaire (2005-2008).,,STOPBABA,,,
Questionnaire,Q4,Medication,stopaspr_impr,Stop aspirin because cond improved?,Y=Yes,,,,6. Did you stop aspirin or aspirin containing product because your condition improved? From the 4th CTS questionnaire (2005-2008).,,STOPASPA,,,
Questionnaire,Q4,Medication,stopibupf_impr,Stop ibuprofen because cond improved?,Y=Yes,,,,6. Did you stop Ibuprofen because your condition improved? From the 4th CTS questionnaire (2005-2008).,,STOPIBUA,,,
Questionnaire,Q4,Medication,stopnsaid_impr,Stop other nsaid because cond improved?,Y=Yes,,,,6. Did you stop NSAID because your condition improved? From the 4th CTS questionnaire (2005-2008).,,STOPOTHA,,,
Questionnaire,Q4,Medication,stopcox2_impr,Stop cox-2 inhibitor because cond improved?,Y=Yes,,,,6. Did you stop Cox-2 inhibitor because your condition improved? From the 4th CTS questionnaire (2005-2008).,,STOPCOXA,,,
Questionnaire,Q4,Medication,stopacetm_impr,Stop acetaminophen because cond improved?,Y=Yes,,,,6. Did you stop acetaminophen because your condition improved? From the 4th CTS questionnaire (2005-2008).,,STOPACEA,,,
Questionnaire,Q4,Medication,stopbbaspr_dnwrk,Stop baby aspirin because didn't work?,Y=Yes,,,,6. Did you stop baby aspirin becaue it didn't work? From the 4th CTS questionnaire (2005-2008).,,STOPBABB,,,
Questionnaire,Q4,Medication,stopaspr_dnwrk,Stop aspirin because didn't work?,Y=Yes,,,,6. Did you stop aspirin or aspirin containing product because it didn't work? From the 4th CTS questionnaire (2005-2008).,,STOPASPB,,,
Questionnaire,Q4,Medication,stopibupf_dnwrk,Stop ibuprofen because didn't work?,Y=Yes,,,,6. Did you stop Ibuprofen because it didn't work? From the 4th CTS questionnaire (2005-2008).,,STOPIBUB,,,
Questionnaire,Q4,Medication,stopnsaid_dnwrk,Stop other nsaid because didn't work?,Y=Yes,,,,6. Did you stop NSAID because it didn't work? From the 4th CTS questionnaire (2005-2008).,,STOPOTHB,,,
Questionnaire,Q4,Medication,stopcox2_dnwrk,Stop cox-2 inhibitor because didn't work?,Y=Yes,,,,6. Did you stop Cox-2 because it didn't work? From the 4th CTS questionnaire (2005-2008).,,STOPCOXB,,,
Questionnaire,Q4,Medication,stopacetm_dnwrk,Stop acetaminophen because didn't work?,Y=Yes,,,,6. Did you stop acetaminophen because it didn't work? From the 4th CTS questionnaire (2005-2008).,,STOPACEB,,,
Questionnaire,Q4,Medication,stopbbaspr_side,Stop baby aspirin because side effects?,Y=Yes,,,,6. Did you stop baby aspirin because of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPBABC,,,
Questionnaire,Q4,Medication,stopaspr_side,Stop aspirin because side effects?,Y=Yes,,,,6. Did you stop aspirin or aspirin containing product because of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPASPC,,,
Questionnaire,Q4,Medication,stopibupf_side,Stop ibuprofen because side effects?,Y=Yes,,,,6. Did you stop Ibuprofen because of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPIBUC,,,
Questionnaire,Q4,Medication,stopnsaid_side,Stop other nsaid because side effects?,Y=Yes,,,,6. Did you stop NSAID because of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPOTHC,,,
Questionnaire,Q4,Medication,stopcox2_side,Stop cox-2 inhibitor because side effects?,Y=Yes,,,,6. Did you stop Cox-2 inhibitor because of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPCOXC,,,
Questionnaire,Q4,Medication,stopacetm_side,Stop acetaminophen because side effects?,Y=Yes,,,,6. Did you stop acetaminophen because of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPACEC,,,
Questionnaire,Q4,Medication,stopbbaspr_hear,Stop baby aspirin heard of side effects?,Y=Yes,,,,6. Did you stop baby aspirin because you heard of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPBABD,,,
Questionnaire,Q4,Medication,stopaspr_hear,Stop aspirin heard of side effects?,Y=Yes,,,,6. Did you stop aspirin or aspirin containing product because you heard of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPASPD,,,
Questionnaire,Q4,Medication,stopibupf_hear,Stop ibuprofen heard of side effects?,Y=Yes,,,,6. Did you stop Ibuprofen because you heard of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPIBUD,,,
Questionnaire,Q4,Medication,stopnsaid_hear,Stop other nsaid heard of side effects?,Y=Yes,,,,6. Did you stop NSAID because you heard of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPOTHD,,,
Questionnaire,Q4,Medication,stopcox2_hear,Stop cox-2 inhibitor heard of side effects?,Y=Yes,,,,6. Did you stop Cox-2 because you heard of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPCOXD,,,
Questionnaire,Q4,Medication,stopacetm_hear,Stop acetaminophen heard of side effects?,Y=Yes,,,,6. Did you stop acetaminophen because you heard of side effects? From the 4th CTS questionnaire (2005-2008).,,STOPACED,,,
Questionnaire,Q4,Medication,stopbbaspr_unav,Stop baby aspirin because not available?,Y=Yes,,,,6. Did you stop baby aspirin because it became not available? From the 4th CTS questionnaire (2005-2008).,,STOPBABE,,,
Questionnaire,Q4,Medication,stopaspr_unav,Stop aspirin because not available?,Y=Yes,,,,6. Did you stop aspirin or aspirin containing product because it became not available? From the 4th CTS questionnaire (2005-2008).,,STOPASPE,,,
Questionnaire,Q4,Medication,stopibupf_unav,Stop ibuprofen because not available?,Y=Yes,,,,6. Did you stop Ibuprofen because it became not available? From the 4th CTS questionnaire (2005-2008).,,STOPIBUE,,,
Questionnaire,Q4,Medication,stopnsaid_unav,Stop other nsaid because not available?,Y=Yes,,,,6. Did you stop NSAID because it became not available? From the 4th CTS questionnaire (2005-2008).,,STOPOTHE,,,
Questionnaire,Q4,Medication,stopcox2_unav,Stop cox-2 inhibitor because not available?,Y=Yes,,,,6. Did you stop Cox-2 because it became not available? From the 4th CTS questionnaire (2005-2008).,,STOPCOXE,,,
Questionnaire,Q4,Medication,stopacetm_unav,Stop acetaminophen because not available?,Y=Yes,,,,6. Did you stop acetaminophen because it became not available? From the 4th CTS questionnaire (2005-2008).,,STOPACEE,,,
Questionnaire,Q4,Medication,stopbbaspr_oth,Stop baby aspirin because other?,Y=Yes,,,,6. Did you stop baby aspirin because of some other reason? From the 4th CTS questionnaire (2005-2008).,,STOPBABF,,,
Questionnaire,Q4,Medication,stopaspr_oth,Stop aspirin because other?,Y=Yes,,,,6. Did you stop aspirin or aspirin containing product because of some other reason? From the 4th CTS questionnaire (2005-2008).,,STOPASPF,,,
Questionnaire,Q4,Medication,stopibupf_oth,Stop ibuprofen because other?,Y=Yes,,,,6. Did you stop Ibuprofen because of some other reason? From the 4th CTS questionnaire (2005-2008).,,STOPIBUF,,,
Questionnaire,Q4,Medication,stopnsaid_oth,Stop other nsaid because other?,Y=Yes,,,,6. Did you stop NSAID because of some other reason? From the 4th CTS questionnaire (2005-2008).,,STOPOTHF,,,
Questionnaire,Q4,Medication,stopcox2_oth,Stop cox-2 inhibitor because other?,Y=Yes,,,,6. Did you stop Cox-2 inhibitor because of some other reason? From the 4th CTS questionnaire (2005-2008).,,STOPCOXF,,,
Questionnaire,Q4,Medication,stopacetm_oth,Stop acetaminophen because other?,Y=Yes,,,,6. Did you stop acetaminophen because of some other reason? From the 4th CTS questionnaire (2005-2008).,,STOPACEF,,,
Questionnaire,Q4,Medication,statin_q4,Take statin medication in past 3 yrs?,"* A=No, B=Yes reg, C=Yes but not reg, Z=Problem",,,,"7. In the past 3 years, have you taken statin medications? From the 4th CTS questionnaire (2005-2008).",,MEDSTAT,,,
Questionnaire,Q4,Medication,steroidpil_q4,Take steroid pill in past 3 yrs?,"* A=No, B=Yes reg, C=Yes but not reg, Z=Problem",,,,"7. In the past 3 years, have you taken steroid medications in pill form? From the 4th CTS questionnaire (2005-2008).",,MEDSTER,,,
Questionnaire,Q4,Medication,steroid_inh_q4,Take inhaled steroids?,"Y=Yes, N=No, Z=Problem",,,,"8. During the past year have you used inhaled steroids at least once a week for treatment of breathing problems such as asthma, COPD, bronchitis or emphysema? From the 4th CTS questionnaire (2005-2008).",,MEDISTER,,,
Questionnaire,Q4,Medication,othanti_inh_q4,Take other inhaled anti-inflammatory?,"Y=Yes, N=No, Z=Problem",,,,"8. During the past year have you used other inhaled anti-inflammatory medications at least once a week for treatment of breathing problems such as asthma, COPD, bronchitis or emphysema? From the 4th CTS questionnaire (2005-2008).",,MEDIANTI,,,
Questionnaire,Q4,Medication,oral_anti_q4,Take oral anti-inflammatory?,"Y=Yes, N=No, Z=Problem",,,,"8. During the past year have you used oral anti- inflammatory medications (not steroids) at least once a week for treatment of breathing problems such as asthma, COPD, bronchitis or emphysema? From the 4th CTS questionnaire (2005-2008).",,MEDOANTI,,,
Questionnaire,Q4,Medication,brondil_inh_q4,Take inhaled bronchodilator?,"Y=Yes, N=No, Z=Problem",,,,"8. During the past year have you used an inhaled bronchodilator at least once a week for treatment of breathing problems such as asthma, COPD, bronchitis or emphysema? From the 4th CTS questionnaire (2005-2008).",,MEDIBRON,,,
Questionnaire,Q4,Medication,brondil_linh_q4,Take long-acting inhaled bronchodilator?,"Y=Yes, N=No, Z=Problem",,,,"8. During the past year have you used a long-acting inhaled bronchodilator at least once a week for treatment of breathing problems such as asthma, COPD, bronchitis or emphysema? From the 4th CTS questionnaire (2005-2008).",,MEDILNGB,,,
Questionnaire,Q4,Medication,abio_wks_q4,How many weeks taken antibiotics?,"* A=Didn't take, B=1-2 Wks, C=3-9, D=10-19, E=20-49, F=50+wks,Z=Problem",,,,"9. In the last 10 years, for how many weeks in total did you take antibiotics? From the 4th CTS questionnaire (2005-2008).",,MEDABIO,,,
Questionnaire,Q4,Medication,ralox_tamox_ever,Ever used raloxifene or tamoxifen?,"Y=Yes, N=No, Z=Problem",,,,10. Have you ever used raloxifene or tamoxifen? (No or Yes) From the 4th CTS questionnaire (2005-2008).,,RALTAMEV,,,
Questionnaire,Q4,Medication,ralox_mo,Months used raloxifene?,"A=No use, B=1-6 Mos, C=7-12, D=13-24, E=25-60, F=60 mos +, Z=Problem",,,,10. How many months in total have you used raloxifene? From the 4th CTS questionnaire (2005-2008).,,RALM,,,
Questionnaire,Q4,Medication,tamox_mo,Months used tamoxifen?,"A=No use, B=1-6 Mos, C=7-12, D=13-24, E=25-60, F=60 mos +, Z=Problem",,,,10. How many months in total have you used tamoxifen? From the 4th CTS questionnaire (2005-2008).,,TAMM,,,
Questionnaire,Q4,Medication,ralox_tamox_q4,Currently using raloxifene or tamoxifen?,"A=No, not currently, B=Yes Raloxifene, C=Yes Tamoxifen, Z=Problem",,,,10. Are you currently using either raloxifene or tamoxifen? From the 4th CTS questionnaire (2005-2008).,,RALTAMC,,,
Questionnaire,Q4,Medication,otcount_hormprep,Current use otc hormonal preps?,"Y=Yes, N=No, Z=Problem",,,,"11. Are you currently using over-the counter hormonal preparations such as herbal, natural or soy- based products? ( No or Yes) From the 4th CTS questionnaire (2005-2008).",,OTCHORM,,,
Questionnaire,Q4,Medication,otcount_soyestro,Current use soy estrogen pills?,Y=Yes,,,,11. Currently using soy estrogen pills. From the 4th CTS questionnaire (2005-2008).,,OTCHORMA,,,
Questionnaire,Q4,Medication,otcount_dongquai,Current use dong quai?,Y=Yes,,,,11. Currently using dong quai. From the 4th CTS questionnaire (2005-2008).,,OTCHORMB,,,
Questionnaire,Q4,Medication,otcount_natprog,Current use nat prog or wild yam cream?,Y=Yes,,,,11. Currently using natural progesterone cream or wild yam cream. From the 4th CTS questionnaire (2005-2008).,,OTCHORMC,,,
Questionnaire,Q4,Medication,otcount_blkcoho,Current use black cohosh?,Y=Yes,,,,11. Currently using black cohosh. From the 4th CTS questionnaire (2005-2008).,,OTCHORMD,,,
Questionnaire,Q4,Medication,otcount_flaxseed,Current use flaxseed or linseed oil?,Y=Yes,,,,11. Currently using flaxseed or linseed oil. From the 4th CTS questionnaire (2005-2008).,,OTCHORME,,,
Questionnaire,Q4,Menopausal Status,menstrual_status_q4,Current menstrual status?,"* A=Pregnant, B=Breast feeding, C= Pre& taking OC, D=Pre & no OC or HT, E=HT before periods stopped, still taking, F=HT before periods stopped, stopped taking, G=Natural Meno, H=Chemo or Radiation Meno, I=Surgery, Z=Problem",,,,12. The answer that best describes your current menstrual status. From the 4th CTS questionnaire (2005-2008).,,MENGRPQ4,,,
Questionnaire,Q4,Menopausal Status,postmeno,Are you post menopausal?,"* Y=Yes, N=No, Z=Problem",,,,13. Do you consider yourself post menopausal? (No or Yes) From the 4th CTS questionnaire (2005-2008).,,POSTM,,,
Questionnaire,Q4,Menopausal Status,agelastperiod_q4,Age of last menstrual period?,"A=< age 35, B=35-39, C=40-43, D=44- 46, E=47-49, F=50-52, G=53-55, H=56+,Z=Problem",,,,13. At what age did you have your last menstrual period? From the 4th CTS questionnaire (2005-2008).,,AGELMP,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_last5yrs,Used hormone therapy in past 5 yrs?,"Y=Yes, N=No, Z=Problem",,,,"14. In the past 5 years, have you used prescription hormone therapy (not including oral contraceptives)? (No or Yes) From the 4th CTS questionnaire (2005-2008).",,HT5Y,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_last5yrs_mo,How many months used ht in past 5 yrs?,"A=1-6 months, B=7-12, C=13-24, D=25- 36, E=37-48, F=49-60 months,Z=Problem",,,,"14. In the past 5 years, for how many months did you use hormone therapy? From the 4th CTS questionnaire (2005-2008).",,HT5YM,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_ppro_offwht,Used prempro off-white?,A=Yes,,,,14. In the past 5 years have you used prempro (off white)? From the 4th CTS questionnaire (2005-2008).,,HTCPW,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_ppro_gold,Used prempro gold?,A=Yes,,,,14. In the past 5 years have you used prempro (gold)? From the 4th CTS questionnaire (2005-2008).,,HTCPG,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_ppro_peach,Used prempro peach?,A=Yes,,,,14. In the past 5 years have you used prempro (peach)? From the 4th CTS questionnaire (2005-2008).,,HTCPP,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_ppro_blue,Used prempro blue?,A=Yes,,,,14. In the past 5 years have you used prempro (blue)? From the 4th CTS questionnaire (2005-2008).,,HTCPB,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_ppro_unknwn,Used prempro unknown color?,A=Yes,,,,14. In the past 5 years have you used prempro (unknown color)? From the 4th CTS questionnaire (2005-2008).,,HTCPU,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_ppha,Used premphase?,A=Yes,,,,14. In the past 5 years have you used premphase? From the 4th CTS questionnaire (2005-2008).,,HTCPHASE,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_combiptch,Used combipatch?,A=Yes,,,,14. In the past 5 years have you used combipatch? From the 4th CTS questionnaire (2005-2008).,,HTCCPTCH,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_femhrt,Used femhrt?,A=Yes,,,,14. In the past 5 years have you used femhrt? From the 4th CTS questionnaire (2005-2008).,,HTCFEM,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_estratest,Used estratest?,A=Yes,,,,14. In the past 5 years have you used estratest? From the 4th CTS questionnaire (2005-2008).,,HTCETEST,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_othcom,Used other combined?,A=Yes,,,,14. In the past 5 years have you used an other combined hormone preparation? From the 4th CTS questionnaire (2005-2008).,,HTCOTH,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_nocom,Did not use combined?,A=Yes,,,,14. In the past 5 years did not use a combined hormone preparation? From the 4th CTS questionnaire (2005-2008).,,HTCNO,,,
Questionnaire,Q4,Menopausal Hormone Therapy,premarn_grn_q4,Used premarin green?,A=Yes,,,,14. In the past 5 years have you used premarin (green)? From the 4th CTS questionnaire (2005-2008).,,HTEPG,,,
Questionnaire,Q4,Menopausal Hormone Therapy,premarn_blue_q4,Used premarin blue?,A=Yes,,,,14. In the past 5 years have you used premarin (blue)? From the 4th CTS questionnaire (2005-2008).,,HTEPB,,,
Questionnaire,Q4,Menopausal Hormone Therapy,premarn_maroon_q4,Used premarin maroon?,A=Yes,,,,14. In the past 5 years have you used premarin (maroon)? From the 4th CTS questionnaire (2005-2008).,,HTEPM,,,
Questionnaire,Q4,Menopausal Hormone Therapy,premarn_wht_q4,Used premarin white?,A=Yes,,,,14. In the past 5 years have you used premarin (white)? From the 4th CTS questionnaire (2005-2008).,,HTEPW,,,
Questionnaire,Q4,Menopausal Hormone Therapy,premarn_orn_q4,Used premarin orange?,A=Yes,,,,14. In the past 5 years have you used premarin (orange)? From the 4th CTS questionnaire (2005-2008).,,HTEPO,,,
Questionnaire,Q4,Menopausal Hormone Therapy,premarn_unknwn_q4,Used premarin unknown color?,A=Yes,,,,14. In the past 5 years have you used premarin (unknown color)? From the 4th CTS questionnaire (2005-2008).,,HTEPU,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_estrace,Used estrace?,A=Yes,,,,14. In the past 5 years have you used estrace? From the 4th CTS questionnaire (2005-2008).,,HTEEST,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_ogen,Used ogen?,A=Yes,,,,14. In the past 5 years have you used ogen? From the 4th CTS questionnaire (2005-2008).,,HTEOGEN,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_othorale,Used other oral estrogen?,A=Yes,,,,14. In the past 5 years have you used other oral estrogen? From the 4th CTS questionnaire (2005-2008).,,HTEOTH,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_no_orale,Did not use oral estrogen?,A=Yes,,,,14. In the past 5 years did not use an oral estrogen? From the 4th CTS questionnaire (2005-2008).,,HTENO,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_estropatch,Used patch estrogen?,A=Yes,,,,14. In the past 5 years have you used a patch estrogen? From the 4th CTS questionnaire (2005-2008).,,HTEPATCH,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_estrovag,Used vaginal estrogen?,A=Yes,,,,14. In the past 5 years have you used a vaginal estrogen? From the 4th CTS questionnaire (2005-2008).,,HTEVAG,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_no_othestro,Did not use other estrogen?,A=Yes,,,,14. In the past 5 years did not use an other estrogen? From the 4th CTS questionnaire (2005-2008).,,HTOENO,,,
Questionnaire,Q4,Menopausal Hormone Therapy,provera_2_5mg_q4,Used provera 2.5 mg?,A=Yes,,,,14. In the past 5 years have you used Prover/Cycrin/MPA(2.5 mg or less) ? From the 4th CTS questionnaire (2005-2008).,,HTP2,,,
Questionnaire,Q4,Menopausal Hormone Therapy,provera_5_9mg_q4,Used provera 5-9 mg?,A=Yes,,,,14. In the past 5 years have you used Prover/Cycrin/MPA(5-9 mg or less) ? From the 4th CTS questionnaire (2005-2008).,,HTP5,,,
Questionnaire,Q4,Menopausal Hormone Therapy,provera_10mg_q4,Used provera 10 mg?,A=Yes,,,,14. In the past 5 years have you used Prover/Cycrin/MPA(10 mg or less) ? From the 4th CTS questionnaire (2005-2008).,,HTP10,,,
Questionnaire,Q4,Menopausal Hormone Therapy,provera_ovr10mg_q4,Used provera more than 10 mg?,A=Yes,,,,14. In the past 5 years have you used Prover/Cycrin/MPA(more than 10 mg) ? From the 4th CTS questionnaire (2005-2008).,,HTPMORE,,,
Questionnaire,Q4,Menopausal Hormone Therapy,provera_dk_q4,Used provera unknown dose?,A=Yes,,,,14. In the past 5 years have you used Prover/Cycrin/MPA(unknown dose) ? From the 4th CTS questionnaire (2005-2008).,,HTPUNK,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_progestin_oth,Used other progestin?,A=Yes,,,,14. In the past 5 years have you used an other oral progestin? From the 4th CTS questionnaire (2005-2008).,,HTPOTH,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_noprog_oral,Did not use oral prog?,A=Yes,,,,14. In the past 5 years did not use an oral progesterone/progestin? From the 4th CTS questionnaire (2005-2008).,,HTPNO,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_orale_days_mo,Days per month of oral estrogen?,"* A=Didn't use, B=<1day/month, C=1-8, D=9-18, E=19-26, F=27+Days/months, Z=Problem",,,,14. What was your pattern of use when you used an oral estrogen? From the 4th CTS questionnaire (2005-2008).,,HTEDAY,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_oralp_days_mo,Days per month of oral prog?,"* A=Didn't use, B=<1day/month, C=1-8, D=9-18, E=19-26, F=27+Days/months, Z=Problem",,,,14. What was your pattern of use when you used an oral progesterone? From the 4th CTS questionnaire (2005-2008).,,HTPDAY,,,
Questionnaire,Q4,Menopausal Hormone Therapy,ht_q4,Current use of hormone therapy?,"Y=Yes, N=No, Z=Problem",,,,14. Are you currently using hormone therapy (within the past month)? From the 4th CTS questionnaire (2005-2008).,,HTCURR,,,
Questionnaire,Q4,Health,diab_pre_q4,Ever told have pre-diabetes?,"Y=Yes, N=No",,,,15. Were you ever told by a health professional that you have borderline diabetes or pre-diabetes? (No or Yes) From the 4th CTS questionnaire (2005-2008).,,DBPRE,,,
Questionnaire,Q4,Health,diab_gest_q4,Ever told have gestational diabetes?,"Y=Yes, N=No",,,,15. Were you ever told by a health professional that you have gestational diabetes? (No or Yes) From the 4th CTS questionnaire (2005-2008).,,DBPRG,,,
Questionnaire,Q4,Health,diab_1_2_q4,Ever told have type 1 or 2 diabetes?,"Y=Yes, N=No",,,,15. Were you ever told by a health professional that you have type 1 or 2 diabetes? (No or Yes) From the 4th CTS questionnaire (2005-2008).,,DBT12,,,
Questionnaire,Q4,Health,diab_pre_age_q4,Age first pre-diabetes?,"A=0-4, B=5-18, C=19-34, D=35-44, E=45- 54, F=55-64, G=65+",,,,15. Age you were first told you had borderline diabetes or pre-diabetes? From the 4th CTS questionnaire (2005-2008).,,DBPREAGE,,,
Questionnaire,Q4,Health,diab_gest_age_q4,Age first gestational diabetes?,"A=0-4, B=5-18, C=19-34, D=35-44, E=45- 54, F=55-64, G=65+",,,,15. Age you were first told you had gestational diabetes? From the 4th CTS questionnaire (2005-2008).,,DBPRGAGE,,,
Questionnaire,Q4,Health,diab_1_2_age_q4,Age first type 1 or 2 diabetes?,"A=0-4, B=5-18, C=19-34, D=35-44, E=45- 54, F=55-64, G=65+",,,,15. Age you were first told you had type 1 or 2 diabetes? From the 4th CTS questionnaire (2005-2008).,,DBT12AGE,,,
Questionnaire,Q4,Health,diab_insulin,Currently taking insulin?,"Y=Yes, N=No",,,,16. Are you currently taking insulin? (No or Yes) From the 4th CTS questionnaire (2005-2008).,,DBINS,,,
Questionnaire,Q4,Health,diab_insulin_yrs,Years taking insulin?,"A=<1yr, B=1-4, C=5-9, D=10-14, E=15- 19, F=20-29, G=30+",,,,16. For how many years have you been taking insulin? From the 4th CTS questionnaire (2005-2008).,,DBINSY,,,
Questionnaire,Q4,Health,diab_oralhyp,Currently taking oral hypoglycemic pills?,"Y=Yes, N=No, C=DK because participating research study",,,,17. Are you currently taking pills to lower your blood sugar? These are sometimes called oral hypoglycemic agents. (No or Yes) From the 4th CTS questionnaire (2005-2008).,,DBPIL,,,
Questionnaire,Q4,Health,diab_oralhyp_yrs,Years taking oral hypoglycemic pills?,"A=<1yr, B=1-4, C=5-9, D=10-14, E=15- 19, F=20-29, G=30+",,,,17. For how many years have you been taking these pills to lower your blood pressure? From the 4th CTS questionnaire (2005-2008).,,DBPILY,,,
Questionnaire,Q4,Health,asthma_diag_q4,Doctor ever said you have asthma?,"Y=Yes, N=No, Z=Problem",,,,18. Were you ever told by a health professional that you have asthma? (No or Yes) From the 4th CTS questionnaire (2005-2008).,,ASTHMAQ4,,,
Questionnaire,Q4,Health,asthma_age_q4,Age when doctor diagnosed asthma,"* A=0-4, B=5-18. Q4, C=19-34, D=35-44, E=45-54, F=55+, Z=Problem",,,,18. Age you were first told you had asthma? From the 4th CTS questionnaire (2005-2008).,,ASTHAGQ4,,,
Questionnaire,Q4,Health,asthma_diagyr_q4,Year first diagnosed asthma,"A=Before 2000, B=2000, C=2001, D=2002, E=2003, F=2004, G=2005,Z=Problem",,,,18. What year were you first told you had asthma? From the 4th CTS questionnaire (2005-2008).,,ASTHYR,,,
Questionnaire,Q4,Health,asthmasym_freq_q4,Frequency of asthma symptoms,"A=None, B=<1/wk, C=1 or 2/wk, D=>2/wk (<then daily), E=Daily certain seasons, F=Daily all the time, Z=Problem",,,,"18. During the past 12 months, on average, how often did you have any symptoms of asthma apart from a cold or respiratory infection? From the 4th CTS questionnaire (2005-2008).",,ASTHFRQ,,,
Questionnaire,Q4,Health,asthmasym_not_q4,Asthma symptoms no trouble,Y=Yes,,,,"18. During the past 12 months, you have not been troubled by asthma. From the 4th CTS questionnaire (2005-2008).",,ASTHNTQ4,,,
Questionnaire,Q4,Health,asthmasym_mild_q4,Asthma symptoms mild,Y=Yes,,,,"18. During the past 12 months, you had mild symptoms for which you have not taken any asthma medication . From the 4th CTS questionnaire (2005-2008).",,ASTHMLQ4,,,
Questionnaire,Q4,Health,asthmasym_meds_q4,Asthma symptoms took medication,Y=Yes,,,,"18. During the past 12 months, you have had asthma symptoms requiring asthma medication. From the 4th CTS questionnaire (2005-2008).",,ASTHMDQ4,,,
Questionnaire,Q4,Health,asthmasym_doc_q4,Asthma symptoms urgent visit to doctor,Y=Yes,,,,"18. During the past 12 months, you have had asthma symptoms requiring an urgent visit to a doctor or emergency care. From the 4th CTS questionnaire (2005-2008).",,ASTHDRQ4,,,
Questionnaire,Q4,Health,asthmasym_hosp_q4,Asthma symptoms spent night in hospital,Y=Yes,,,,"18. During the past 12 months, you have had asthma symptoms requiring you to stay overnight at a hospital. From the 4th CTS questionnaire (2005-2008).",,ASTHHPQ4,,,
Questionnaire,Q4,Health,pneu_ever,Ever had pneumonia?,"Y=Yes, N=No, Z=Problem",,,,19. Were you every told by a health professional that you have pneumonia? From the 4th CTS questionnaire (2005-2008).,,PNEUEV,,,
