Variable,RType,SASType,SASLen,SASFormat,SASInformat,SASLabel
cox2_perwk_q4,character,Char,50,$50.00 ,$50.00 ,Num cox-2 inhibitor per week regularly?
actem_perwk_q4,character,Char,50,$50.00 ,$50.00 ,Num acetaminophen per wk regularly?
stopbbaspr,character,Char,50,$50.00 ,$50.00 ,Did you stop baby aspirin tablets?
stopaspr,character,Char,50,$50.00 ,$50.00 ,Did you stop aspirin tablets?
stopibupf,character,Char,50,$50.00 ,$50.00 ,Did you stop ibuprofen tablets?
stopnsaid,character,Char,50,$50.00 ,$50.00 ,Did you stop other nsaid tablets?
stopcox2,character,Char,50,$50.00 ,$50.00 ,Did you stop cox-2 inhibitor tablets?
stopacetm,character,Char,50,$50.00 ,$50.00 ,Did you stop acetaminophen tablets?
stopbbaspr_impr,character,Char,50,$50.00 ,$50.00 ,Stop baby aspirin because cond improved?
stopaspr_impr,character,Char,50,$50.00 ,$50.00 ,Stop aspirin because cond improved?
stopibupf_impr,character,Char,50,$50.00 ,$50.00 ,Stop ibuprofen because cond improved?
stopnsaid_impr,character,Char,50,$50.00 ,$50.00 ,Stop other nsaid because cond improved?
stopcox2_impr,character,Char,50,$50.00 ,$50.00 ,Stop cox-2 inhibitor because cond improved?
stopacetm_impr,character,Char,50,$50.00 ,$50.00 ,Stop acetaminophen because cond improved?
stopbbaspr_dnwrk,character,Char,50,$50.00 ,$50.00 ,Stop baby aspirin because didn't work?
stopaspr_dnwrk,character,Char,50,$50.00 ,$50.00 ,Stop aspirin because didn't work?
stopibupf_dnwrk,character,Char,50,$50.00 ,$50.00 ,Stop ibuprofen because didn't work?
stopnsaid_dnwrk,character,Char,50,$50.00 ,$50.00 ,Stop other nsaid because didn't work?
stopcox2_dnwrk,character,Char,50,$50.00 ,$50.00 ,Stop cox-2 inhibitor because didn't work?
stopacetm_dnwrk,character,Char,50,$50.00 ,$50.00 ,Stop acetaminophen because didn't work?
stopbbaspr_side,character,Char,50,$50.00 ,$50.00 ,Stop baby aspirin because side effects?
stopaspr_side,character,Char,50,$50.00 ,$50.00 ,Stop aspirin because side effects?
stopibupf_side,character,Char,50,$50.00 ,$50.00 ,Stop ibuprofen because side effects?
stopnsaid_side,character,Char,50,$50.00 ,$50.00 ,Stop other nsaid because side effects?
stopcox2_side,character,Char,50,$50.00 ,$50.00 ,Stop cox-2 inhibitor because side effects?
stopacetm_side,character,Char,50,$50.00 ,$50.00 ,Stop acetaminophen because side effects?
stopbbaspr_hear,character,Char,50,$50.00 ,$50.00 ,Stop baby aspirin heard of side effects?
stopaspr_hear,character,Char,50,$50.00 ,$50.00 ,Stop aspirin heard of side effects?
stopibupf_hear,character,Char,50,$50.00 ,$50.00 ,Stop ibuprofen heard of side effects?
stopnsaid_hear,character,Char,50,$50.00 ,$50.00 ,Stop other nsaid heard of side effects?
stopcox2_hear,character,Char,50,$50.00 ,$50.00 ,Stop cox-2 inhibitor heard of side effects?
stopacetm_hear,character,Char,50,$50.00 ,$50.00 ,Stop acetaminophen heard of side effects?
stopbbaspr_unav,character,Char,50,$50.00 ,$50.00 ,Stop baby aspirin because not available?
stopaspr_unav,character,Char,50,$50.00 ,$50.00 ,Stop aspirin because not available?
stopibupf_unav,character,Char,50,$50.00 ,$50.00 ,Stop ibuprofen because not available?
stopnsaid_unav,character,Char,50,$50.00 ,$50.00 ,Stop other nsaid because not available?
stopcox2_unav,character,Char,50,$50.00 ,$50.00 ,Stop cox-2 inhibitor because not available?
stopacetm_unav,character,Char,50,$50.00 ,$50.00 ,Stop acetaminophen because not available?
stopbbaspr_oth,character,Char,50,$50.00 ,$50.00 ,Stop baby aspirin because other?
stopaspr_oth,character,Char,50,$50.00 ,$50.00 ,Stop aspirin because other?
stopibupf_oth,character,Char,50,$50.00 ,$50.00 ,Stop ibuprofen because other?
stopnsaid_oth,character,Char,50,$50.00 ,$50.00 ,Stop other nsaid because other?
stopcox2_oth,character,Char,50,$50.00 ,$50.00 ,Stop cox-2 inhibitor because other?
stopacetm_oth,character,Char,50,$50.00 ,$50.00 ,Stop acetaminophen because other?
statin_q4,character,Char,50,$50.00 ,$50.00 ,Take statin medication in past 3 yrs?
steroidpil_q4,character,Char,50,$50.00 ,$50.00 ,Take steroid pill in past 3 yrs?
steroid_inh_q4,character,Char,50,$50.00 ,$50.00 ,Take inhaled steroids?
othanti_inh_q4,character,Char,50,$50.00 ,$50.00 ,Take other inhaled anti-inflammatory?
oral_anti_q4,character,Char,50,$50.00 ,$50.00 ,Take oral anti-inflammatory?
brondil_inh_q4,character,Char,50,$50.00 ,$50.00 ,Take inhaled bronchodilator?
brondil_linh_q4,character,Char,50,$50.00 ,$50.00 ,Take long-acting inhaled bronchodilator?
abio_wks_q4,character,Char,50,$50.00 ,$50.00 ,How many weeks taken antibiotics?
ralox_tamox_ever,character,Char,50,$50.00 ,$50.00 ,Ever used raloxifene or tamoxifen?
ralox_mo,character,Char,50,$50.00 ,$50.00 ,Months used raloxifene?
tamox_mo,character,Char,50,$50.00 ,$50.00 ,Months used tamoxifen?
ralox_tamox_q4,character,Char,50,$50.00 ,$50.00 ,Currently using raloxifene or tamoxifen?
otcount_hormprep,character,Char,50,$50.00 ,$50.00 ,Current use otc hormonal preps?
otcount_soyestro,character,Char,50,$50.00 ,$50.00 ,Current use soy estrogen pills?
otcount_dongquai,character,Char,50,$50.00 ,$50.00 ,Current use dong quai?
otcount_natprog,character,Char,50,$50.00 ,$50.00 ,Current use nat prog or wild yam cream?
otcount_blkcoho,character,Char,50,$50.00 ,$50.00 ,Current use black cohosh?
otcount_flaxseed,character,Char,50,$50.00 ,$50.00 ,Current use flaxseed or linseed oil?
menstrual_status_q4,character,Char,50,$50.00 ,$50.00 ,Current menstrual status?
postmeno,character,Char,50,$50.00 ,$50.00 ,Are you post menopausal?
agelastperiod_q4,character,Char,50,$50.00 ,$50.00 ,Age of last menstrual period?
ht_last5yrs,character,Char,50,$50.00 ,$50.00 ,Used hormone therapy in past 5 yrs?
ht_last5yrs_mo,character,Char,50,$50.00 ,$50.00 ,How many months used ht in past 5 yrs?
ht_ppro_offwht,character,Char,50,$50.00 ,$50.00 ,Used prempro off-white?
ht_ppro_gold,character,Char,50,$50.00 ,$50.00 ,Used prempro gold?
ht_ppro_peach,character,Char,50,$50.00 ,$50.00 ,Used prempro peach?
ht_ppro_blue,character,Char,50,$50.00 ,$50.00 ,Used prempro blue?
ht_ppro_unknwn,character,Char,50,$50.00 ,$50.00 ,Used prempro unknown color?
ht_ppha,character,Char,50,$50.00 ,$50.00 ,Used premphase?
ht_combiptch,character,Char,50,$50.00 ,$50.00 ,Used combipatch?
ht_femhrt,character,Char,50,$50.00 ,$50.00 ,Used femhrt?
ht_estratest,character,Char,50,$50.00 ,$50.00 ,Used estratest?
ht_othcom,character,Char,50,$50.00 ,$50.00 ,Used other combined?
ht_nocom,character,Char,50,$50.00 ,$50.00 ,Did not use combined?
premarn_grn_q4,character,Char,50,$50.00 ,$50.00 ,Used premarin green?
premarn_blue_q4,character,Char,50,$50.00 ,$50.00 ,Used premarin blue?
premarn_maroon_q4,character,Char,50,$50.00 ,$50.00 ,Used premarin maroon?
premarn_wht_q4,character,Char,50,$50.00 ,$50.00 ,Used premarin white?
premarn_orn_q4,character,Char,50,$50.00 ,$50.00 ,Used premarin orange?
premarn_unknwn_q4,character,Char,50,$50.00 ,$50.00 ,Used premarin unknown color?
ht_estrace,character,Char,50,$50.00 ,$50.00 ,Used estrace?
ht_ogen,character,Char,50,$50.00 ,$50.00 ,Used ogen?
ht_othorale,character,Char,50,$50.00 ,$50.00 ,Used other oral estrogen?
ht_no_orale,character,Char,50,$50.00 ,$50.00 ,Did not use oral estrogen?
ht_estropatch,character,Char,50,$50.00 ,$50.00 ,Used patch estrogen?
ht_estrovag,character,Char,50,$50.00 ,$50.00 ,Used vaginal estrogen?
ht_no_othestro,character,Char,50,$50.00 ,$50.00 ,Did not use other estrogen?
provera_2_5mg_q4,character,Char,50,$50.00 ,$50.00 ,Used provera 2.5 mg?
provera_5_9mg_q4,character,Char,50,$50.00 ,$50.00 ,Used provera 5-9 mg?
provera_10mg_q4,character,Char,50,$50.00 ,$50.00 ,Used provera 10 mg?
provera_ovr10mg_q4,character,Char,50,$50.00 ,$50.00 ,Used provera more than 10 mg?
provera_dk_q4,character,Char,50,$50.00 ,$50.00 ,Used provera unknown dose?
ht_progestin_oth,character,Char,50,$50.00 ,$50.00 ,Used other progestin?
ht_noprog_oral,character,Char,50,$50.00 ,$50.00 ,Did not use oral prog?
ht_orale_days_mo,character,Char,50,$50.00 ,$50.00 ,Days per month of oral estrogen?
ht_oralp_days_mo,character,Char,50,$50.00 ,$50.00 ,Days per month of oral prog?
ht_q4,character,Char,50,$50.00 ,$50.00 ,Current use of hormone therapy?
diab_pre_q4,character,Char,50,$50.00 ,$50.00 ,Ever told have pre-diabetes?
diab_gest_q4,character,Char,50,$50.00 ,$50.00 ,Ever told have gestational diabetes?
diab_1_2_q4,character,Char,50,$50.00 ,$50.00 ,Ever told have type 1 or 2 diabetes?
diab_pre_age_q4,character,Char,50,$50.00 ,$50.00 ,Age first pre-diabetes?
diab_gest_age_q4,character,Char,50,$50.00 ,$50.00 ,Age first gestational diabetes?
diab_1_2_age_q4,character,Char,50,$50.00 ,$50.00 ,Age first type 1 or 2 diabetes?
diab_insulin,character,Char,50,$50.00 ,$50.00 ,Currently taking insulin?
diab_insulin_yrs,character,Char,50,$50.00 ,$50.00 ,Years taking insulin?
diab_oralhyp,character,Char,50,$50.00 ,$50.00 ,Currently taking oral hypoglycemic pills?
diab_oralhyp_yrs,character,Char,50,$50.00 ,$50.00 ,Years taking oral hypoglycemic pills?
asthma_diag_q4,character,Char,50,$50.00 ,$50.00 ,Doctor ever said you have asthma?
asthma_age_q4,character,Char,50,$50.00 ,$50.00 ,Age when doctor diagnosed asthma
asthma_diagyr_q4,character,Char,50,$50.00 ,$50.00 ,Year first diagnosed asthma
asthmasym_freq_q4,character,Char,50,$50.00 ,$50.00 ,Frequency of asthma symptoms
asthmasym_not_q4,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms no trouble
asthmasym_mild_q4,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms mild
asthmasym_meds_q4,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms took medication
asthmasym_doc_q4,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms urgent visit to doctor
asthmasym_hosp_q4,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms spent night in hospital
pneu_ever,character,Char,50,$50.00 ,$50.00 ,Ever had pneumonia?
hayfever_ever,character,Char,50,$50.00 ,$50.00 ,Ever had hay fever?
parkins_ever_q4,character,Char,50,$50.00 ,$50.00 ,Ever had parkinson's disease?
parkins_age_q4_raw,numeric,Num,8,11.,11.,Age of parkinson's disease
moonucl_ever,character,Char,50,$50.00 ,$50.00 ,Ever had infectious mononucleosis?
endomtrs_ever,character,Char,50,$50.00 ,$50.00 ,Ever had endometriosis?
mastitis_ever,character,Char,50,$50.00 ,$50.00 ,Number of times had mastitis
strnex_hrs_q4,character,Char,50,$50.00 ,$50.00 ,Strenuous exercise hours per day
strnex_mo_q4,character,Char,50,$50.00 ,$50.00 ,Strenuous exercise months per year
strnex_avg_q4,numeric,Num,8,20.1,20.1,"Past 3yrs avg hrs/wk/month of strenuous activity, from q4"
allex_avg_q4,numeric,Num,8,20.1,20.1,Strenuous + moderate avg hrs per wk per yr during past 3yrs (q4)
modex_hrs_q4,character,Char,50,$50.00 ,$50.00 ,Moderate exercise hours per day
modex_mo_q4,character,Char,50,$50.00 ,$50.00 ,Moderate exercise months per year
modex_avg_q4,numeric,Num,8,20.1,20.1,"Past 3yrs avg hrs/wk/month of moderate activity, from q4"
stairs_perday,character,Char,50,$50.00 ,$50.00 ,Flights of stairs climbed per day
limitd_vigact_q4,character,Char,50,$50.00 ,$50.00 ,Limited in vigorous activs?
limitd_modact_q4,character,Char,50,$50.00 ,$50.00 ,Limited in moderate activs?
limitd_stairs_q4,character,Char,50,$50.00 ,$50.00 ,Limited in climbing several flights stairs?
limitd_1stair_q4,character,Char,50,$50.00 ,$50.00 ,Limited in climbing 1 flight of stairs?
limitd_wlkmile_q4,character,Char,50,$50.00 ,$50.00 ,Limited in walking more than a mile?
limitd_wlkblcks_q4,character,Char,50,$50.00 ,$50.00 ,Limited in walking several blocks?
limitd_wlk1blck_q4,character,Char,50,$50.00 ,$50.00 ,Limited in walking 1 block?
limitd_carrying_q4,character,Char,50,$50.00 ,$50.00 ,Limited in carrying groceries?
limitd_bending_q4,character,Char,50,$50.00 ,$50.00 ,"Limited in bending, kneeling, stooping?"
limitd_bathing_q4,character,Char,50,$50.00 ,$50.00 ,Limited in bathing or dressing yourself?
weight_q4,numeric,Num,8,11.,11.,Weight today q4
bmi_q4,numeric,Num,8,20.1,20.1,Body mass index at Q4 (q4 wt kg/(q1 ht m)**2)
lost20lb_times,character,Char,50,$50.00 ,$50.00 ,Number times lost 20+ pounds in a year
gain20lb_times,character,Char,50,$50.00 ,$50.00 ,Number times gained 20+ pounds in a year
bodyb50,character,Char,50,$50.00 ,$50.00 ,Usual body size of you before age 50
bodya50,character,Char,50,$50.00 ,$50.00 ,Usual body size of you after age 50
self_sex,character,Char,50,$50.00 ,$50.00 ,Sex male or female - self
diet_analyselig,numeric,Num,8,11.,11.,Eligibility indicator for dietary analysis
serv_vegs_q4,character,Char,50,$50.00 ,$50.00 ,Number of vegetable servings
serv_fruit_q4,character,Char,50,$50.00 ,$50.00 ,Number of fruit servings
serv_cere_q4,character,Char,50,$50.00 ,$50.00 ,Number of cold cereal servings
lo_cheese_q4,character,Char,50,$50.00 ,$50.00 ,How often eat low-fat cheese?
lo_yogurt_q4,character,Char,50,$50.00 ,$50.00 ,How often eat low-fat yogurt?
lo_dressn_q4,character,Char,50,$50.00 ,$50.00 ,How often eat low-fat dressing or mayo?
lo_icecrm_q4,character,Char,50,$50.00 ,$50.00 ,How often eat low-fat ice cream?
lo_cake_q4,character,Char,50,$50.00 ,$50.00 ,How often eat low-fat cookies or cake?
addsugar_q4,character,Char,50,$50.00 ,$50.00 ,How often add sugar to coffee/tea?
addbutr_veg_q4,character,Char,50,$50.00 ,$50.00 ,How often add butter to vegetables?
addmarg_veg_q4,character,Char,50,$50.00 ,$50.00 ,How often add margarine to vegetables?
addbutr_brd_q4,character,Char,50,$50.00 ,$50.00 ,How often add butter to bread?
addmarg_brd_q4,character,Char,50,$50.00 ,$50.00 ,How often add margarine to bread?
meatfat_q4,character,Char,50,$50.00 ,$50.00 ,How often eat fat on meat?
chickn_skn_q4,character,Char,50,$50.00 ,$50.00 ,How often eat skin on chicken?
mulvit_reg,character,Char,50,$50.00 ,$50.00 ,Taken multivitamins reg in past year?
vita_reg,character,Char,50,$50.00 ,$50.00 ,Taken vitamin a or beta-carotene reg in past year?
vitc_reg,character,Char,50,$50.00 ,$50.00 ,Taken vitamin c reg in past year?
vite_reg,character,Char,50,$50.00 ,$50.00 ,Taken vitamin e reg in past year?
calcium_reg,character,Char,50,$50.00 ,$50.00 ,Taken calcium reg in past year?
mulvit_freq,character,Char,50,$50.00 ,$50.00 ,How often take multivitamins?
mulvit_yrs_q4,character,Char,50,$50.00 ,$50.00 ,How many years taken multivitamins?
vita_freq,character,Char,50,$50.00 ,$50.00 ,How often take vitamin a or beta-carotene?
vita_yrs_q4,character,Char,50,$50.00 ,$50.00 ,How many years taken vitamin a or beta- carotene?
vitc_freq,character,Char,50,$50.00 ,$50.00 ,How often take vitamin c?
vitc_yrs_q4,character,Char,50,$50.00 ,$50.00 ,How many years taken vitamin c?
vite_freq,character,Char,50,$50.00 ,$50.00 ,How often take vitamin e?
vite_yrs_q4,character,Char,50,$50.00 ,$50.00 ,How many years taken vitamin e?
calcium_freq,character,Char,50,$50.00 ,$50.00 ,How often take calcium?
calcium_yrs_q4,character,Char,50,$50.00 ,$50.00 ,How many years taken calcium?
mulvit_miner,character,Char,50,$50.00 ,$50.00 ,Take multivitamins with minerals?
mulvit_antiox,character,Char,50,$50.00 ,$50.00 ,Take multivitamins with extra antioxidants?
vitc_mg,character,Char,50,$50.00 ,$50.00 ,Vitamin c as single supplement (mg)
vite_mg,character,Char,50,$50.00 ,$50.00 ,Vitamin e as single supplement (mg)
preg_ever_q4,character,Char,50,$50.00 ,$50.00 ,Ever pregnant?
smokeb4preg_cig,character,Char,50,$50.00 ,$50.00 ,Before preg cigs per day
smokedurpreg_cig,character,Char,50,$50.00 ,$50.00 ,During preg cigs per day
smokeb4preg_no,character,Char,50,$50.00 ,$50.00 ,No-one smoked around me before pregnancy
smokedurpreg_no,character,Char,50,$50.00 ,$50.00 ,No-one smoked around me during pregnancy
smokeb4preg_hm,character,Char,50,$50.00 ,$50.00 ,Others at home smoked before pregnancy
smokedurpreg_hm,character,Char,50,$50.00 ,$50.00 ,Others at home smoked during pregnancy
smokeb4preg_wrk,character,Char,50,$50.00 ,$50.00 ,Others at work smoked before pregnancy
smokedurpreg_wrk,character,Char,50,$50.00 ,$50.00 ,Others at work smoked during pregnancy
smokeb4preg_oth,character,Char,50,$50.00 ,$50.00 ,Others smoked around me before pregnancy
smokedurpreg_oth,character,Char,50,$50.00 ,$50.00 ,Others smoked around me during pregnancy
livbirth_1stpreg,character,Char,50,$50.00 ,$50.00 ,Did first pregnancy result in a live birth?
livbirth_ever,character,Char,50,$50.00 ,$50.00 ,Ever preg & live birth?
smokeb4livb_cig,character,Char,50,$50.00 ,$50.00 ,Own smoking before live birth cigs per day
smokedurlivb_cig,character,Char,50,$50.00 ,$50.00 ,Own smoking during live birth cigs per day
smokeb4livb_no,character,Char,50,$50.00 ,$50.00 ,No-one smoked before live birth
smokedurlivb_no,character,Char,50,$50.00 ,$50.00 ,No-one smoked during live birth
smokeb4livb_hm,character,Char,50,$50.00 ,$50.00 ,Others at home smoked before live birth
smokedurlivb_hm,character,Char,50,$50.00 ,$50.00 ,Others at home smoked during live birth
smokeb4livb_wrk,character,Char,50,$50.00 ,$50.00 ,Others at work smoked before live birth
smokedurlivb_wrk,character,Char,50,$50.00 ,$50.00 ,Others at work smoked during live birth
smokeb4livb_oth,character,Char,50,$50.00 ,$50.00 ,Others smoked around me before live birth
smokedurlivb_oth,character,Char,50,$50.00 ,$50.00 ,Others smoked around me during live birth
hlthinsur_mdcare,character,Char,50,$50.00 ,$50.00 ,Medicare health insurance?
hlthinsur_comb,character,Char,50,$50.00 ,$50.00 ,Health insurance answer combinations
retired_q4,character,Char,50,$50.00 ,$50.00 ,Is participant retired
retired_spous,character,Char,50,$50.00 ,$50.00 ,Is participant spouse retired
edu_self,character,Char,50,$50.00 ,$50.00 ,Highest education - participant
edu_self_comb,character,Char,50,$50.00 ,$50.00 ,Advanced degree combo - participant
edu_spous,character,Char,50,$50.00 ,$50.00 ,Highest education - spouse/partner
edu_spous_comb,character,Char,50,$50.00 ,$50.00 ,Advanced degree combo - spouse/partner
edu_mom,character,Char,50,$50.00 ,$50.00 ,Highest education - mother
edu_mom_comb,character,Char,50,$50.00 ,$50.00 ,Advanced degree combo - mother
edu_dad,character,Char,50,$50.00 ,$50.00 ,Highest education - father
edu_dad_comb,character,Char,50,$50.00 ,$50.00 ,Advanced degree combo - father
household_income_q4,character,Char,50,$50.00 ,$50.00 ,Household annual income
ppl_support_house_income_q4,character,Char,50,$50.00 ,$50.00 ,Number supported by household income
minor_support_house_inc_q4,character,Char,50,$50.00 ,$50.00 ,Number of minors supported by household income
senior_support_house_inc_q4,character,Char,50,$50.00 ,$50.00 ,Individuals over 64 supported by household income
menstrual_status_q4mini,character,Char,50,$50.00 ,$50.00 ,Current menstrual status?
postmeno_mini,character,Char,50,$50.00 ,$50.00 ,Are you post menopausal?
agelastperiod_q4mini,character,Char,50,$50.00 ,$50.00 ,Age of last menstrual period?
ht_last5yrs_mini,character,Char,50,$50.00 ,$50.00 ,Used hormone therapy in past 5 yrs?
ht_last5yrs_mo_mini,character,Char,50,$50.00 ,$50.00 ,How many months used ht in past 5 yrs?
ht_ppro_offwht_mini,character,Char,50,$50.00 ,$50.00 ,Used prempro off-white?
ht_ppro_gold_mini,character,Char,50,$50.00 ,$50.00 ,Used prempro gold?
ht_ppro_peach_mini,character,Char,50,$50.00 ,$50.00 ,Used prempro peach?
ht_ppro_blue_mini,character,Char,50,$50.00 ,$50.00 ,Used prempro blue?
ht_ppro_unknwn_mini,character,Char,50,$50.00 ,$50.00 ,Used prempro unknown color?
ht_ppha_mini,character,Char,50,$50.00 ,$50.00 ,Used premphase?
ht_combiptch_mini,character,Char,50,$50.00 ,$50.00 ,Used combipatch?
ht_femhrt_mini,character,Char,50,$50.00 ,$50.00 ,Used femhrt?
ht_estratest_mini,character,Char,50,$50.00 ,$50.00 ,Used estratest?
ht_othcom_mini,character,Char,50,$50.00 ,$50.00 ,Used other combined?
ht_nocom_mini,character,Char,50,$50.00 ,$50.00 ,Did not use combined?
premarn_grn_q4mini,character,Char,50,$50.00 ,$50.00 ,Used premarin green?
premarn_blue_q4mini,character,Char,50,$50.00 ,$50.00 ,Used premarin blue?
premarn_maroon_q4mini,character,Char,50,$50.00 ,$50.00 ,Used premarin maroon?
premarn_wht_q4mini,character,Char,50,$50.00 ,$50.00 ,Used premarin white?
premarn_orn_q4mini,character,Char,50,$50.00 ,$50.00 ,Used premarin orange?
premarn_unknwn_q4mini,character,Char,50,$50.00 ,$50.00 ,Used premarin unknown color?
ht_estrace_mini,character,Char,50,$50.00 ,$50.00 ,Used estrace?
ht_ogen_mini,character,Char,50,$50.00 ,$50.00 ,Used ogen?
ht_othorale_mini,character,Char,50,$50.00 ,$50.00 ,Used other oral estrogen?
ht_no_orale_mini,character,Char,50,$50.00 ,$50.00 ,Did not use oral estrogen?
ht_estropatch_mini,character,Char,50,$50.00 ,$50.00 ,Used patch estrogen?
ht_estrovag_mini,character,Char,50,$50.00 ,$50.00 ,Used vaginal estrogen?
ht_no_othestro_mini,character,Char,50,$50.00 ,$50.00 ,Did not use other estrogen?
provera_2_5mg_q4mini,character,Char,50,$50.00 ,$50.00 ,Used provera 2.5 mg?
provera_5_9mg_q4mini,character,Char,50,$50.00 ,$50.00 ,Used provera 5-9 mg?
provera_10mg_q4mini,character,Char,50,$50.00 ,$50.00 ,Used provera 10 mg?
provera_ovr10mg_q4mini,character,Char,50,$50.00 ,$50.00 ,Used provera more than 10 mg?
provera_dk_q4mini,character,Char,50,$50.00 ,$50.00 ,Used provera unknown dose?
ht_progestin_oth_mini,character,Char,50,$50.00 ,$50.00 ,Used other progestin?
ht_noprog_oral_mini,character,Char,50,$50.00 ,$50.00 ,Did not use oral prog?
ht_orale_days_mo_mini,character,Char,50,$50.00 ,$50.00 ,Days per month of oral estrogen?
ht_oralp_days_mo_mini,character,Char,50,$50.00 ,$50.00 ,Days per month of oral prog?
ht_q4mini,character,Char,50,$50.00 ,$50.00 ,Current use of hormone therapy?
ralox_ever_mini,character,Char,50,$50.00 ,$50.00 ,Ever used raloxifene?
ralox_mo_mini,character,Char,50,$50.00 ,$50.00 ,Months used raloxifene?
ralox_q4mini,character,Char,50,$50.00 ,$50.00 ,Currently using raloxifene?
otcount_hormprep_mini,character,Char,50,$50.00 ,$50.00 ,Currently using otc hormonal preps?
otcount_soyestro_mini,character,Char,50,$50.00 ,$50.00 ,Currently using soy estrogen pills?
otcount_dongquai_mini,character,Char,50,$50.00 ,$50.00 ,Currently using dong quai?
otcount_natprog_mini,character,Char,50,$50.00 ,$50.00 ,Currently using nat prog cream or wild yam cream?
otcount_blkcoho_mini,character,Char,50,$50.00 ,$50.00 ,Currently using black cohosh?
otcount_flaxseed_mini,character,Char,50,$50.00 ,$50.00 ,Currently using flaxseed or linseed oil?
weight_q4mini,character,Char,50,$50.00 ,$50.00 ,Weight today in lbs
marital_status_q5,character,Char,50,$50.00 ,$50.00 ,Marital status at 5th questionnaire
employ_schl_q5,character,Char,50,$50.00 ,$50.00 ,"Currently employed in public, charter or private schools"
employ_oth_q5,character,Char,50,$50.00 ,$50.00 ,Other employed
employ_return_q5,character,Char,50,$50.00 ,$50.00 ,"Not currently working, plan to re enter work force"
employ_unable_q5,character,Char,50,$50.00 ,$50.00 ,Unable to work
employ_homemak_q5,character,Char,50,$50.00 ,$50.00 ,Homemaker
employ_retired_q5,character,Char,50,$50.00 ,$50.00 ,Retired
sleep_quality,character,Char,50,$50.00 ,$50.00 ,Sleep quality during past month
sleep_fall,character,Char,50,$50.00 ,$50.00 ,How long to fall asleep during past month
sleep_hrs_night,character,Char,50,$50.00 ,$50.00 ,Hours of sleep each night during past month
sleep_trouble,character,Char,50,$50.00 ,$50.00 ,How often trouble sleeping during past month
sleep_reg_lastyr,character,Char,50,$50.00 ,$50.00 ,Are your sleep habits typical over the last year
sleep_reg2_5yrs,character,Char,50,$50.00 ,$50.00 ,Are your sleep habits typical of 2-5 years ago
sleep_reg6_10yrs,character,Char,50,$50.00 ,$50.00 ,Are your sleep habits typical of 6-10 years ago
sleep_reg_ovr11yrs,character,Char,50,$50.00 ,$50.00 ,Are your sleep habits typical of 11 or more years ago
sleep_med_howoft,character,Char,50,$50.00 ,$50.00 ,How often taken sleep medicine during past month
sleep_type_teen,character,Char,50,$50.00 ,$50.00 ,Are you a morning or evening type in your teens/in college
sleep_type30_40,character,Char,50,$50.00 ,$50.00 ,Are you a  morning or evening type in ages 30-40
sleep_type_now,character,Char,50,$50.00 ,$50.00 ,Are you a morning or evening type now
colds_howoft,character,Char,50,$50.00 ,$50.00 ,How often do you get colds
hrswithchildren,character,Char,50,$50.00 ,$50.00 ,How many hours spend with child under 5years old
stand_wrk_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week standing or walking at work or away from home
stand_hm_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week standing or walking around at home
sit_wrk_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week sitting at work
sit_car_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week sitting or driving in a vehicle
sit_tv_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week sitting while watching tv
sit_read_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week sitting while reading
sit_oth_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week sitting for other reasons
lightex_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week participating in light intensity activities
walk_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week walking for exercise or as part of job
weighttrain_hrs,character,Char,50,$50.00 ,$50.00 ,Hours per week weight training exercise
walk_normalpace,character,Char,50,$50.00 ,$50.00 ,Normal walking pace
strnex_hrs_q5,character,Char,50,$50.00 ,$50.00 ,Hours per week of strenuous activity during past 3 years
strnex_mo_q5,character,Char,50,$50.00 ,$50.00 ,Months per year of strenuous activity during past 3 years
modex_hrs_q5,character,Char,50,$50.00 ,$50.00 ,Hours per week of moderate activity during past 3 years
modex_mo_q5,character,Char,50,$50.00 ,$50.00 ,Months per year of moderate activity during past 3 years
limitd_vigact_q5,character,Char,50,$50.00 ,$50.00 ,Are currently limited doing vigorous activities
limitd_modact_q5,character,Char,50,$50.00 ,$50.00 ,Are currently limited doing moderate activities
limitd_carrying_q5,character,Char,50,$50.00 ,$50.00 ,Are currently limited lifting or carrying groceries
limitd_stairs_q5,character,Char,50,$50.00 ,$50.00 ,Are currently limited climbing several flights of stairs
limitd_1stair_q5,character,Char,50,$50.00 ,$50.00 ,Are currently limited climbing one flight of stairs
limitd_bending_q5,character,Char,50,$50.00 ,$50.00 ,"Are currently limited bending, kneeling, or stooping"
limitd_wlkmile_q5,character,Char,50,$50.00 ,$50.00 ,Are currently limited walking more than a mile
